Source,Target,Weight
Nat Methods,Nat Neurosci,7
Nat Methods,Int J Biol Sci,3
Nat Methods,Brief Funct Genomics,3
Nat Methods,Stem Cell Res,1
Nat Methods,Clin Chem,1
Nat Methods,J Genet Genomics,5
Nat Methods,Mol Microbiol,1
Nat Methods,Hum Genet,1
Nat Methods,Zhonghua Liu Xing Bing Xue Za Zhi,2
Nat Methods,Stem Cells Dev,1
Nat Methods,Curr Protoc Stem Cell Biol,1
Nat Methods,Zhongguo Shi Yan Xue Ye Xue Za Zhi,1
Nat Methods,Cancer Res,1
Nat Methods,Nat Med,4
Nat Methods,Appl Environ Microbiol,3
Nat Methods,DNA Repair (Amst),1
Nat Methods,BMC Biotechnol,1
Nat Methods,Ann Rheum Dis,1
Nat Methods,Free Radic Biol Med,2
Nat Methods,Am J Hum Genet,1
Nat Methods,Hum Gene Ther,5
Nat Methods,Genes Dev,3
Nat Methods,Methods Cell Biol,3
Nat Methods,Dongwuxue Yanjiu,1
Nat Methods,Cell Discov,2
Nat Methods,Curr Biol,2
Nat Methods,Bioresour Technol,1
Nat Methods,Trends Genet,1
Nat Methods,Stem Cells,2
Nat Methods,Trends Biotechnol,5
Nat Methods,Methods Enzymol,5
Nat Methods,Anal Biochem,2
Nat Methods,PLoS Pathog,1
Nat Methods,Eur Urol,1
Nat Methods,Genesis,1
Nat Methods,Curr Microbiol,2
Nat Methods,J Biotechnol,2
Nat Methods,Curr Protoc Mol Biol,3
Nat Methods,Cancer Cell,2
Nat Methods,Insect Biochem Mol Biol,3
Nat Methods,Genetics,9
Nat Methods,Biochem Biophys Res Commun,5
Nat Methods,J Neurosci Res,1
Nat Methods,Nat Rev Genet,5
Nat Methods,Biotechnol J,1
Nat Methods,Wei Sheng Wu Xue Bao,5
Nat Methods,J Vis Exp,1
Nat Methods,Nat Rev Neurosci,1
Nat Methods,Plant Physiol,2
Nat Methods,Retrovirology,1
Nat Methods,Parasitol Res,2
Nat Methods,Genome Med,2
Nat Methods,Mol Plant,7
Nat Methods,Leukemia,1
Nat Methods,Cell Death Differ,3
Nat Methods,Biomed Res Int,3
Nat Methods,Gene Ther,3
Nat Methods,Acta Neuropathol Commun,1
Nat Methods,RNA,1
Nat Methods,Trends Parasitol,1
Nat Methods,Adv Drug Deliv Rev,1
Nat Methods,Annu Rev Chem Biomol Eng,1
Nat Methods,EMBO Mol Med,2
Nat Methods,J Intern Med,1
Nat Methods,Gene,1
Nat Methods,Mol Biol Cell,1
Nat Methods,N Engl J Med,1
Nat Methods,World J Microbiol Biotechnol,2
Nat Methods,Neurochem Res,1
Nat Methods,FEBS Lett,3
Nat Methods,Sci Signal,1
Nat Methods,Cell Biosci,1
Nat Methods,Antiviral Res,1
Nat Methods,Biochem Pharmacol,2
Nat Methods,Sheng Wu Gong Cheng Xue Bao,1
Nat Methods,Expert Opin Biol Ther,1
Nat Methods,Environ Microbiol,1
Nat Methods,Nat Genet,2
Nat Methods,Acta Biochim Biophys Sin (Shanghai),2
Nat Methods,Biotechniques,2
Nat Methods,Tumour Biol,1
Nat Methods,Gastroenterology,1
Nat Methods,Transl Psychiatry,1
Nat Methods,Methods,2
Nat Methods,Toxins (Basel),1
Nat Methods,Nat Cell Biol,1
Nat Methods,Crit Rev Biochem Mol Biol,1
Nat Methods,Brain Res,1
Nat Methods,J Med Microbiol,1
Nat Methods,J Mol Biol,1
Nat Methods,J Microbiol Biotechnol,1
Nat Methods,Mol Autism,1
Nat Methods,J Pathol,1
Nat Methods,Plant Mol Biol,2
Nat Methods,J Mol Cell Biol,4
Nat Methods,Hum Mutat,3
Nat Methods,J Gen Virol,1
Nat Methods,World J Gastroenterol,1
Nat Methods,Appl Microbiol Biotechnol,1
Nat Methods,J Clin Microbiol,4
Nat Methods,FASEB J,1
Nat Methods,Mol Neurodegener,1
Nat Methods,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,2
Nat Methods,Mol Syst Biol,1
Nat Methods,Zygote,1
Nat Methods,EMBO J,5
Nat Methods,Sheng Li Ke Xue Jin Zhan,1
Nat Methods,J Insect Physiol,1
Nat Methods,Mol Cells,1
Nat Methods,Onco Targets Ther,1
Nat Methods,Foodborne Pathog Dis,4
Nat Methods,Gigascience,1
Nat Methods,Cell Regen (Lond),1
Nat Methods,Mol Endocrinol,1
Nat Methods,J Orthop Res,1
Nat Methods,Planta,1
Nat Methods,Cold Spring Harb Perspect Med,1
Nat Methods,Int J Biochem Cell Biol,7
Nat Methods,Biochem Soc Trans,1
Nat Methods,Rice (N Y),1
Nat Methods,Expert Opin Ther Targets,2
Nat Methods,Acc Chem Res,1
Nat Methods,Acta Crystallogr D Biol Crystallogr,1
Nat Methods,Crit Rev Eukaryot Gene Expr,1
Nat Methods,BMC Infect Dis,1
Adv Exp Med Biol,Nat Methods,3
Adv Exp Med Biol,Sci Rep,7
Adv Exp Med Biol,Oncogene,1
Adv Exp Med Biol,PLoS Genet,1
Adv Exp Med Biol,PLoS One,16
Adv Exp Med Biol,Nat Protoc,1
Adv Exp Med Biol,Methods Mol Biol,4
Adv Exp Med Biol,Nature,3
Adv Exp Med Biol,Oncotarget,3
Adv Exp Med Biol,Proc Natl Acad Sci U S A,3
Adv Exp Med Biol,Nucleic Acids Res,6
Adv Exp Med Biol,ACS Synth Biol,1
Adv Exp Med Biol,Nat Commun,3
Adv Exp Med Biol,Metab Eng,2
Adv Exp Med Biol,Stand Genomic Sci,1
Adv Exp Med Biol,Genome Announc,1
Adv Exp Med Biol,Mol Ther,1
Adv Exp Med Biol,Cell Rep,3
Adv Exp Med Biol,Cell Mol Life Sci,1
Adv Exp Med Biol,Protein Cell,1
Adv Exp Med Biol,Cell,3
Adv Exp Med Biol,Elife,1
Adv Exp Med Biol,Sci Adv,1
Adv Exp Med Biol,Genome Res,1
Adv Exp Med Biol,Acta Pharmacol Sin,1
Adv Exp Med Biol,Genome Biol,2
Adv Exp Med Biol,G3 (Bethesda),1
Adv Exp Med Biol,Hum Mol Genet,1
Adv Exp Med Biol,RNA Biol,1
Adv Exp Med Biol,Nat Biotechnol,2
Adv Exp Med Biol,Mol Ther Methods Clin Dev,1
Adv Exp Med Biol,Stem Cell Reports,1
Adv Exp Med Biol,Cell Stem Cell,1
Adv Exp Med Biol,Bioinformatics,1
Adv Exp Med Biol,Infect Genet Evol,2
Adv Exp Med Biol,Parasitol Int,1
Adv Exp Med Biol,Cell Res,3
Adv Exp Med Biol,Development,1
Adv Exp Med Biol,J Genet Genomics,1
Adv Exp Med Biol,Nat Med,1
Adv Exp Med Biol,Appl Environ Microbiol,1
Adv Exp Med Biol,Hum Gene Ther,1
Adv Exp Med Biol,Biotechnol Bioeng,1
Adv Exp Med Biol,Stem Cells,1
Adv Exp Med Biol,Methods Enzymol,1
Adv Exp Med Biol,PLoS Pathog,2
Adv Exp Med Biol,Genesis,1
Adv Exp Med Biol,J Biotechnol,1
Adv Exp Med Biol,BMC Bioinformatics,3
Adv Exp Med Biol,Biochem Biophys Res Commun,1
Adv Exp Med Biol,Wei Sheng Wu Xue Bao,3
Adv Exp Med Biol,Plant Physiol,1
Adv Exp Med Biol,Mol Plant,2
Adv Exp Med Biol,Leukemia,1
Adv Exp Med Biol,RNA,1
Adv Exp Med Biol,Gene,1
Adv Exp Med Biol,Cell Biosci,1
Adv Exp Med Biol,ISME J,1
Adv Exp Med Biol,Microbiology,2
Adv Exp Med Biol,Anticancer Res,1
Adv Exp Med Biol,Biochem Pharmacol,1
Adv Exp Med Biol,Expert Opin Biol Ther,2
Adv Exp Med Biol,Environ Microbiol,3
Adv Exp Med Biol,Biotechniques,1
Adv Exp Med Biol,J Mol Cell Biol,1
Adv Exp Med Biol,FASEB J,1
Adv Exp Med Biol,Emerg Infect Dis,2
Adv Exp Med Biol,Biochimie,3
Adv Exp Med Biol,Foodborne Pathog Dis,1
Adv Exp Med Biol,Cell Regen (Lond),1
Sci Rep,Nat Methods,37
Sci Rep,Adv Exp Med Biol,7
Sci Rep,Oncogene,10
Sci Rep,Environ Microbiol Rep,1
Sci Rep,Mol Cell,15
Sci Rep,Front Pharmacol,4
Sci Rep,PLoS Genet,19
Sci Rep,PLoS One,163
Sci Rep,Nat Protoc,23
Sci Rep,Methods Mol Biol,34
Sci Rep,Nature,49
Sci Rep,Oncotarget,71
Sci Rep,Proc Natl Acad Sci U S A,75
Sci Rep,Science,19
Sci Rep,J Zhejiang Univ Sci B,2
Sci Rep,J Biol Chem,33
Sci Rep,EMBO Rep,1
Sci Rep,Clin Cancer Res,7
Sci Rep,Nucleic Acids Res,95
Sci Rep,ACS Synth Biol,27
Sci Rep,Plant Cell Rep,22
Sci Rep,Cold Spring Harb Protoc,3
Sci Rep,J Bacteriol,18
Sci Rep,Reprod Domest Anim,7
Sci Rep,Nat Commun,78
Sci Rep,Metab Eng,15
Sci Rep,Stand Genomic Sci,18
Sci Rep,Genome Announc,10
Sci Rep,Mol Ther,22
Sci Rep,Am J Physiol Renal Physiol,1
Sci Rep,Cell Rep,47
Sci Rep,J Virol,7
Sci Rep,Cell Mol Life Sci,26
Sci Rep,Int J Syst Evol Microbiol,2
Sci Rep,Cell Metab,3
Sci Rep,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,2
Sci Rep,Protein Cell,29
Sci Rep,Cell,48
Sci Rep,Elife,8
Sci Rep,Genes Cells,9
Sci Rep,Cancer Discov,7
Sci Rep,Yi Chuan,14
Sci Rep,Sci Adv,15
Sci Rep,Genome Res,35
Sci Rep,Trends Plant Sci,6
Sci Rep,Acta Pharmacol Sin,5
Sci Rep,Biochim Biophys Acta,2
Sci Rep,Genome Biol,26
Sci Rep,BMC Genomics,24
Sci Rep,Stem Cells Transl Med,12
Sci Rep,G3 (Bethesda),29
Sci Rep,Cancer Sci,2
Sci Rep,Genome Biol Evol,4
Sci Rep,Hum Mol Genet,27
Sci Rep,J Cell Physiol,2
Sci Rep,Front Plant Sci,7
Sci Rep,Front Mol Neurosci,6
Sci Rep,Biol Direct,4
Sci Rep,J Integr Plant Biol,10
Sci Rep,Reproduction,4
Sci Rep,MBio,10
Sci Rep,Mol Ther Nucleic Acids,12
Sci Rep,J Bone Metab,1
Sci Rep,Virus Res,10
Sci Rep,Br J Haematol,1
Sci Rep,Virol J,6
Sci Rep,Nat Plants,5
Sci Rep,RNA Biol,34
Sci Rep,Nat Chem Biol,8
Sci Rep,Int J Mol Sci,35
Sci Rep,Front Microbiol,9
Sci Rep,BMB Rep,2
Sci Rep,Ann Neurol,2
Sci Rep,Cell Biol Toxicol,2
Sci Rep,Plant Biotechnol J,15
Sci Rep,Xenotransplantation,8
Sci Rep,Nat Biotechnol,47
Sci Rep,Mol Ther Methods Clin Dev,6
Sci Rep,Nat Struct Mol Biol,6
Sci Rep,Mol Cell Biol,5
Sci Rep,Int J Med Microbiol,2
Sci Rep,Trends Cell Biol,1
Sci Rep,Plant J,4
Sci Rep,FEBS J,20
Sci Rep,Stem Cell Reports,20
Sci Rep,Biol Open,16
Sci Rep,Cell Stem Cell,51
Sci Rep,J Exp Bot,1
Sci Rep,Bioinformatics,19
Sci Rep,Infect Genet Evol,6
Sci Rep,Parasitol Int,1
Sci Rep,Cell Res,77
Sci Rep,J Cell Biochem,2
Sci Rep,Extremophiles,1
Sci Rep,Proc Biol Sci,5
Sci Rep,Development,15
Sci Rep,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,3
Sci Rep,J Natl Cancer Inst,1
Sci Rep,Drug Discov Today,1
Sci Rep,Dev Biol,12
Sci Rep,Biochem J,2
Sci Rep,J Ind Microbiol Biotechnol,7
Sci Rep,Dev Genes Evol,2
Sci Rep,Biotechnol Lett,21
Sci Rep,Nat Neurosci,8
Sci Rep,Int J Biol Sci,16
Sci Rep,Theriogenology,4
Sci Rep,Brief Funct Genomics,9
Sci Rep,Stem Cell Res,6
Sci Rep,Angew Chem Int Ed Engl,9
Sci Rep,J Cell Biol,5
Sci Rep,J Genet Genomics,46
Sci Rep,Mol Microbiol,1
Sci Rep,Hum Genet,8
Sci Rep,F1000Res,2
Sci Rep,Zhonghua Liu Xing Bing Xue Za Zhi,12
Sci Rep,Diabetologia,2
Sci Rep,Stem Cells Dev,13
Sci Rep,Crit Rev Biotechnol,1
Sci Rep,Curr Protoc Stem Cell Biol,1
Sci Rep,Zhongguo Shi Yan Xue Ye Xue Za Zhi,1
Sci Rep,Cancer Res,7
Sci Rep,Viruses,3
Sci Rep,Nat Med,7
Sci Rep,Appl Environ Microbiol,22
Sci Rep,DNA Repair (Amst),2
Sci Rep,BMC Biotechnol,11
Sci Rep,Transgenic Res,5
Sci Rep,Ann Rheum Dis,2
Sci Rep,Mol Cancer Res,2
Sci Rep,Anal Chem,3
Sci Rep,J Clin Invest,7
Sci Rep,Transl Perioper Pain Med,1
Sci Rep,Free Radic Biol Med,7
Sci Rep,Fly (Austin),1
Sci Rep,Am J Hum Genet,8
Sci Rep,Hum Gene Ther,9
Sci Rep,Dis Model Mech,1
Sci Rep,Hepatology,10
Sci Rep,Genes Dev,11
Sci Rep,Methods Cell Biol,3
Sci Rep,Plant Signal Behav,2
Sci Rep,Dongwuxue Yanjiu,3
Sci Rep,Cell Discov,12
Sci Rep,Environ Sci Technol,2
Sci Rep,Curr Biol,6
Sci Rep,Biotechnol Bioeng,12
Sci Rep,Bioresour Technol,3
Sci Rep,Cell Microbiol,1
Sci Rep,Sci China Life Sci,6
Sci Rep,Mol Med Rep,4
Sci Rep,Stem Cells,8
Sci Rep,Trends Biotechnol,5
Sci Rep,Methods Enzymol,14
Sci Rep,Anal Biochem,9
Sci Rep,Protein Sci,3
Sci Rep,Epigenetics Chromatin,1
Sci Rep,J Reprod Dev,9
Sci Rep,PLoS Pathog,14
Sci Rep,Endocrinology,1
Sci Rep,Eur Urol,10
Sci Rep,Genesis,6
Sci Rep,Curr Microbiol,9
Sci Rep,J Biotechnol,13
Sci Rep,Am J Physiol Lung Cell Mol Physiol,2
Sci Rep,Invest Ophthalmol Vis Sci,2
Sci Rep,Curr Protoc Mol Biol,3
Sci Rep,New Phytol,3
Sci Rep,Cancer Cell,10
Sci Rep,Insect Biochem Mol Biol,19
Sci Rep,Cell Biochem Biophys,1
Sci Rep,Microb Cell Fact,3
Sci Rep,Genetics,22
Sci Rep,Mol Oncol,1
Sci Rep,Nan Fang Yi Ke Da Xue Xue Bao,2
Sci Rep,Transplant Proc,1
Sci Rep,Biochem Biophys Res Commun,37
Sci Rep,J Neurosci Res,6
Sci Rep,Virol Sin,1
Sci Rep,Nat Rev Genet,2
Sci Rep,Biotechnol J,15
Sci Rep,J Immunol,1
Sci Rep,Wei Sheng Wu Xue Bao,19
Sci Rep,J Reprod Immunol,1
Sci Rep,J Vis Exp,9
Sci Rep,Curr Gene Ther,3
Sci Rep,Microbiol Immunol,4
Sci Rep,Nat Rev Neurosci,1
Sci Rep,Exp Mol Med,1
Sci Rep,Curr Issues Mol Biol,1
Sci Rep,Plant Physiol,13
Sci Rep,Hum Reprod Update,1
Sci Rep,Mol Plant Pathol,1
Sci Rep,Neoplasia,1
Sci Rep,J Cell Sci,8
Sci Rep,Retrovirology,2
Sci Rep,Parasitol Res,7
Sci Rep,Parasitology,3
Sci Rep,Annu Rev Genomics Hum Genet,1
Sci Rep,Genome Med,4
Sci Rep,Mol Plant,45
Sci Rep,Leukemia,2
Sci Rep,Appl Biochem Biotechnol,3
Sci Rep,Diabetes,1
Sci Rep,Cell Death Differ,14
Sci Rep,Biomed Res Int,19
Sci Rep,Gene Ther,19
Sci Rep,Acta Neuropathol Commun,2
Sci Rep,RNA,4
Sci Rep,Parasit Vectors,7
Sci Rep,Trends Parasitol,1
Sci Rep,Virology,3
Sci Rep,Haematologica,1
Sci Rep,Autophagy,1
Sci Rep,Cilia,1
Sci Rep,Am J Transl Res,3
Sci Rep,Adv Drug Deliv Rev,1
Sci Rep,Neurotherapeutics,4
Sci Rep,Stem Cells Int,1
Sci Rep,Annu Rev Biophys,2
Sci Rep,Annu Rev Biochem,1
Sci Rep,AIDS,9
Sci Rep,EMBO Mol Med,14
Sci Rep,J Intern Med,3
Sci Rep,Gene,8
Sci Rep,Mol Biol Cell,4
Sci Rep,N Engl J Med,1
Sci Rep,World J Microbiol Biotechnol,7
Sci Rep,Neurochem Res,6
Sci Rep,Arterioscler Thromb Vasc Biol,8
Sci Rep,BMC Plant Biol,7
Sci Rep,Cell Cycle,1
Sci Rep,Matrix Biol,1
Sci Rep,Am J Respir Cell Mol Biol,3
Sci Rep,FEBS Lett,8
Sci Rep,Insect Sci,1
Sci Rep,Exp Anim,15
Sci Rep,J Assist Reprod Genet,5
Sci Rep,Sci Signal,4
Sci Rep,Cell Biosci,8
Sci Rep,Oral Dis,2
Sci Rep,Mutat Res Rev Mutat Res,1
Sci Rep,Epigenetics,1
Sci Rep,Mol Reprod Dev,1
Sci Rep,Insect Mol Biol,4
Sci Rep,ISME J,8
Sci Rep,Microbiology,2
Sci Rep,Cancer Lett,3
Sci Rep,Structure,6
Sci Rep,Antiviral Res,4
Sci Rep,Anticancer Res,1
Sci Rep,Acta Crystallogr D Struct Biol,2
Sci Rep,Biochem Pharmacol,7
Sci Rep,Sheng Wu Gong Cheng Xue Bao,6
Sci Rep,Plant Cell Physiol,6
Sci Rep,GM Crops Food,3
Sci Rep,Curr Protoc Mouse Biol,2
Sci Rep,Expert Opin Biol Ther,3
Sci Rep,Environ Microbiol,6
Sci Rep,Nat Genet,4
Sci Rep,JCI Insight,1
Sci Rep,Discov Med,2
Sci Rep,Curr Opin Plant Biol,1
Sci Rep,Zhonghua Bing Li Xue Za Zhi,4
Sci Rep,Int J Parasitol,3
Sci Rep,Int Immunol,1
Sci Rep,Acta Biochim Biophys Sin (Shanghai),14
Sci Rep,Biotechniques,8
Sci Rep,Tumour Biol,3
Sci Rep,Gene Regul Syst Bio,2
Sci Rep,BMC Syst Biol,1
Sci Rep,J Struct Biol,1
Sci Rep,Gastroenterology,4
Sci Rep,Dev Cell,12
Sci Rep,Gen Comp Endocrinol,7
Sci Rep,Endocr J,2
Sci Rep,Transl Psychiatry,12
Sci Rep,Curr Protoc Hum Genet,7
Sci Rep,Methods,6
Sci Rep,Toxins (Basel),5
Sci Rep,Zhonghua Kou Qiang Yi Xue Za Zhi,6
Sci Rep,Fungal Genet Biol,2
Sci Rep,Mol Biotechnol,2
Sci Rep,Mol Biosyst,2
Sci Rep,J Med Genet,1
Sci Rep,Nat Cell Biol,3
Sci Rep,Genes Genet Syst,2
Sci Rep,Brain Res,1
Sci Rep,Biol Proced Online,2
Sci Rep,J Med Microbiol,2
Sci Rep,Toxicol Pathol,1
Sci Rep,J Mol Biol,2
Sci Rep,J Microbiol Biotechnol,1
Sci Rep,Mol Autism,2
Sci Rep,J Pathol,7
Sci Rep,Plant Mol Biol,20
Sci Rep,Mil Med Res,1
Sci Rep,J Mol Cell Biol,22
Sci Rep,Hum Mutat,11
Sci Rep,J Nanosci Nanotechnol,4
Sci Rep,Annu Rev Genet,1
Sci Rep,J Oral Microbiol,1
Sci Rep,Zhongguo Fei Ai Za Zhi,3
Sci Rep,J Gen Virol,9
Sci Rep,Mamm Genome,12
Sci Rep,World J Gastroenterol,1
Sci Rep,Appl Microbiol Biotechnol,3
Sci Rep,Eukaryot Cell,2
Sci Rep,J Clin Microbiol,14
Sci Rep,FASEB J,6
Sci Rep,Mol Neurodegener,2
Sci Rep,Asian J Androl,1
Sci Rep,Clin Calcium,2
Sci Rep,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,6
Sci Rep,Annu Rev Microbiol,1
Sci Rep,Zygote,4
Sci Rep,Cell Logist,1
Sci Rep,Chem Biol,4
Sci Rep,EMBO J,11
Sci Rep,Hematology,3
Sci Rep,Database (Oxford),3
Sci Rep,Sheng Li Ke Xue Jin Zhan,2
Sci Rep,J Biomol Struct Dyn,2
Sci Rep,Biol Reprod,9
Sci Rep,Zhonghua Yu Fang Yi Xue Za Zhi,2
Sci Rep,J Insect Physiol,4
Sci Rep,Int J Cancer,1
Sci Rep,J Am Chem Soc,1
Sci Rep,Nat Rev Cancer,1
Sci Rep,Hear Res,4
Sci Rep,Mol Cells,2
Sci Rep,J Biochem,2
Sci Rep,Exp Biol Med (Maywood),1
Sci Rep,Surg Oncol,1
Sci Rep,J Biosci Bioeng,3
Sci Rep,Curr Opin Struct Biol,1
Sci Rep,Genet Mol Res,2
Sci Rep,Int J Food Microbiol,1
Sci Rep,FEBS Open Bio,3
Sci Rep,Life (Basel),1
Sci Rep,Quant Biol,1
Sci Rep,J Neurovirol,3
Sci Rep,Microbiol Mol Biol Rev,1
Sci Rep,Chromosome Res,3
Sci Rep,J Neurosci,1
Sci Rep,Onco Targets Ther,7
Sci Rep,BMC Genet,1
Sci Rep,Foodborne Pathog Dis,7
Sci Rep,Gigascience,4
Sci Rep,Cell Regen (Lond),4
Sci Rep,Mol Endocrinol,1
Sci Rep,Genes Dis,2
Sci Rep,J Orthop Res,5
Sci Rep,Planta,2
Sci Rep,Bone,1
Sci Rep,Cold Spring Harb Perspect Med,2
Sci Rep,Dev Growth Differ,16
Sci Rep,Int J Biochem Cell Biol,11
Sci Rep,Biochem Soc Trans,1
Sci Rep,Mol Biol Rep,4
Sci Rep,Rice (N Y),3
Sci Rep,PeerJ,5
Sci Rep,Acta Crystallogr D Biol Crystallogr,1
Sci Rep,Uirusu,3
Sci Rep,Congenit Anom (Kyoto),2
Sci Rep,Crit Rev Eukaryot Gene Expr,2
Sci Rep,Folia Microbiol (Praha),1
Sci Rep,Proteins,1
Sci Rep,Biosci Biotechnol Biochem,1
Sci Rep,BMC Infect Dis,1
Sci Rep,Phys Rev Lett,1
Sci Rep,Rapid Commun Mass Spectrom,1
Oncogene,Nat Methods,2
Oncogene,Adv Exp Med Biol,1
Oncogene,Sci Rep,10
Oncogene,Mol Cell,1
Oncogene,PLoS One,5
Oncogene,Nat Protoc,1
Oncogene,Methods Mol Biol,2
Oncogene,Nature,3
Oncogene,Oncotarget,7
Oncogene,Proc Natl Acad Sci U S A,3
Oncogene,J Biol Chem,2
Oncogene,Nucleic Acids Res,5
Oncogene,ACS Synth Biol,3
Oncogene,Cold Spring Harb Protoc,1
Oncogene,Nat Commun,3
Oncogene,Stand Genomic Sci,1
Oncogene,Mol Ther,3
Oncogene,Cell Rep,1
Oncogene,J Virol,1
Oncogene,Cell Mol Life Sci,1
Oncogene,Protein Cell,2
Oncogene,Cell,3
Oncogene,Elife,1
Oncogene,Cancer Discov,1
Oncogene,Genome Res,3
Oncogene,Genome Biol,2
Oncogene,BMC Genomics,2
Oncogene,G3 (Bethesda),1
Oncogene,Hum Mol Genet,2
Oncogene,Front Mol Neurosci,1
Oncogene,Mol Ther Nucleic Acids,1
Oncogene,Virus Res,1
Oncogene,RNA Biol,2
Oncogene,Nat Biotechnol,3
Oncogene,FEBS J,2
Oncogene,Stem Cell Reports,1
Oncogene,Biol Open,1
Oncogene,Cell Stem Cell,3
Oncogene,Bioinformatics,1
Oncogene,Infect Genet Evol,1
Oncogene,Cell Res,3
Oncogene,Development,2
Oncogene,Biotechnol Lett,1
Oncogene,J Cell Biol,1
Oncogene,J Genet Genomics,4
Oncogene,Hum Genet,1
Oncogene,Zhonghua Liu Xing Bing Xue Za Zhi,1
Oncogene,BMC Biotechnol,1
Oncogene,Genes Dev,1
Oncogene,Cell Discov,1
Oncogene,Sci China Life Sci,1
Oncogene,Stem Cells,1
Oncogene,Anal Biochem,1
Oncogene,PLoS Pathog,2
Oncogene,Genesis,1
Oncogene,Curr Microbiol,1
Oncogene,J Biotechnol,2
Oncogene,Cancer Cell,1
Oncogene,Insect Biochem Mol Biol,1
Oncogene,Mol Oncol,1
Oncogene,J Neurosci Res,1
Oncogene,Parasitol Res,1
Oncogene,Annu Rev Genomics Hum Genet,1
Oncogene,Mol Plant,3
Oncogene,Biomed Res Int,1
Oncogene,RNA,1
Oncogene,Stem Cell Rev,1
Oncogene,EMBO Mol Med,1
Oncogene,J Intern Med,1
Oncogene,J Assist Reprod Genet,1
Oncogene,Cell Biosci,1
Oncogene,Mutat Res Rev Mutat Res,1
Oncogene,Discov Med,1
Oncogene,Acta Biochim Biophys Sin (Shanghai),1
Oncogene,Biotechniques,1
Oncogene,Tumour Biol,1
Oncogene,Dev Cell,1
Oncogene,Transl Psychiatry,2
Oncogene,J Mol Cell Biol,1
Oncogene,J Nanosci Nanotechnol,1
Oncogene,J Gen Virol,1
Oncogene,J Clin Microbiol,1
Oncogene,FASEB J,1
Oncogene,EMBO J,1
Oncogene,Cell Regen (Lond),1
Oncogene,Bone,1
Oncogene,Int J Biochem Cell Biol,1
Environ Microbiol Rep,Sci Rep,1
Environ Microbiol Rep,Mol Cell,1
Environ Microbiol Rep,PLoS Genet,4
Environ Microbiol Rep,Nucleic Acids Res,1
Environ Microbiol Rep,J Bacteriol,2
Environ Microbiol Rep,Nat Commun,2
Environ Microbiol Rep,Stand Genomic Sci,4
Environ Microbiol Rep,Protein Cell,1
Environ Microbiol Rep,Cell,1
Environ Microbiol Rep,BMC Genomics,1
Environ Microbiol Rep,G3 (Bethesda),1
Environ Microbiol Rep,Genome Biol Evol,2
Environ Microbiol Rep,MBio,2
Environ Microbiol Rep,Front Microbiol,1
Environ Microbiol Rep,Bioinformatics,1
Environ Microbiol Rep,Infect Genet Evol,1
